Number	Name	SubGroup	ID	GroupID	Subgrouping	SubgroupingName
1	Bengni	Tani-Deng	Bengni	73	1.1.1.1	Western Tani
2	Bokar_Lhoba	Tani-Deng	Bokar_Lhoba	73	1.1.1.1	Western Tani
3	Apatani	Tani-Deng	Apatani	73	1.1.1.1	Western Tani
4	Idu	Tani-Deng	Idu	6	1.1.2	Deng
5	Darang_Taraon	Tani-Deng	Darang_Taraon	6	1.1.2	Deng
6	Thado	Kuki-Chin	Thado	68	1.2.1.1	Northern Chin
7	Tiddim	Kuki-Chin	Tiddim	68	1.2.1.1	Northern Chin
8	Khumi	Kuki-Chin	Khumi	69	1.2.1.2	Southern Plains Chin
9	Matu	Kuki-Chin	Matu	69	1.2.1.2	Southern Plains Chin
10	Ngmüün	Kuki-Chin	Ngmuun	69	1.2.1.2	Southern Plains Chin
11	Daai	Kuki-Chin	Daai	69	1.2.1.2	Southern Plains Chin
12	Sangtam	Naga	Sangtam	63	1.3.1	Central Naga (Ao Group)
13	Ao_Mongsen_Longchang	Naga	Ao_Mongsen_Longchang	63	1.3.1	Central Naga (Ao Group)
14	Ao_Chungli	Naga	Ao_Chungli	63	1.3.1	Central Naga (Ao Group)
15	Lotha_Naga	Naga	Lotha_Naga	63	1.3.1	Central Naga (Ao Group)
16	Angami_Kohima	Naga	Angami_Kohima	65	1.3.2	Angami-Pochuri Group
17	Sema_Sumi	Naga	Sema_Sumi	65	1.3.2	Angami-Pochuri Group
18	Liangmei	Naga	Liangmei	64	1.3.3	Zeme Group
19	Zeme	Naga	Zeme	64	1.3.3	Zeme Group
20	Rongmei_Nruanghmei	Naga	Rongmei_Nruanghmei	64	1.3.3	Zeme Group
21	Tangkhul	Naga	Tangkhul	66	1.3.4	Tangkhulic
22	Dimasa	Bodo-Garo-Koch	Dimasa	80	1.7.1.1	Bodo
23	Bodo	Bodo-Garo-Koch	Bodo	80	1.7.1.1	Bodo
24	Garo_Bangladesh	Bodo-Garo-Koch	Garo_Bangladesh	81	1.7.1.2	Garo
25	Atong	Bodo-Garo-Koch	Atong	82	1.7.1.3	Koch
26	Konyak	Bodo-Garo-Koch	Konyak	85	1.7.2.2	Konyak-Chang
27	Phom	Bodo-Garo-Koch	Phom	85	1.7.2.2	Konyak-Chang
28	Chang	Bodo-Garo-Koch	Chang	85	1.7.2.2	Konyak-Chang
29	Jingpho	Bodo-Garo-Koch	Jingpho	37	1.7.3.1	Jingpho
30	Sak	Bodo-Garo-Koch	Sak	40	1.7.3.2	Asakian
31	Pattani_Manchati	Himalayish	Pattani_Manchati	20	2.1.1	Western Himalayish
32	Kanauri	Himalayish	Kanauri	20	2.1.1	Western Himalayish
33	Cuona_Menba	Himalayish	Cuona_Menba	22	2.1.2	Bodic
34	Tshona_Mama	Himalayish	Tshona_Mama	22	2.1.2	Bodic
35	Tibetan_Jirel	Himalayish	Tibetan_Jirel	24	2.1.2.1	Tibetan
36	Tibetan_Amdo_Zeku	Himalayish	Tibetan_Amdo_Zeku	24	2.1.2.1	Tibetan
37	Tibetan_Amdo_Bla_brang	Himalayish	Tibetan_Amdo_Bla_brang	24	2.1.2.1	Tibetan
38	Tibetan_Lhasa	Himalayish	Tibetan_Lhasa	24	2.1.2.1	Tibetan
