NUMBER	ENGLISH
1	all
2	ash
3	bark
4	belly
5	big
6	bird
7	bite
8	black
9	blood
10	bone
11	breasts
12	burn
13	claw
14	cloud
15	cold
16	come
17	die
18	dog
19	drink
20	dry
21	ear
22	earth
23	eat
24	egg
25	eye
26	feather
27	fire
28	fish
29	flesh
30	fly
31	foot
32	full
33	give
34	good
35	grease
36	green
37	hair
38	hand
39	head
40	hear
41	heart
42	horn
43	hot
44	i
45	kill
46	knee
47	know
48	leaf
49	lie
50	liver
51	long
52	louse
53	man
54	many
55	moon
56	mountain
57	mouth
58	name
59	neck
60	new
61	night
62	nose
63	not
64	one
65	path
66	person
67	rain
68	red
69	root
70	round
71	sand
72	say
73	see
74	seed
75	sit
76	skin
77	sleep
78	small
79	smoke
80	stand
81	star
82	stone
83	sun
84	swim
85	tail
86	that
87	this
88	tongue
89	tooth
90	tree
91	two
92	walk
93	water
94	we
95	what
96	white
97	who
98	woman
99	yellow
100	you
