ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,STEDTID,GlossInSource
bengni-2_ash-1,,bengni,2_ash,*mey,*mey,,,Zhang2019,2136,,,,,
bengni-2_ash-2,,bengni,2_ash,*pʷut ⪤ *hwut,*pʷut ⪤ *hwut,,,Zhang2019,3514,,,,,
bengni-3_bark-1,,bengni,3_bark,*pʷ(i/u)(l/n),*pʷ(i/u)(l/n),,,Zhang2019,591,,,,,
bengni-3_bark-2,,bengni,3_bark,*s/r-kawk ⪤ *s/r-kwak,*s/r-kawk ⪤ *s/r-kwak,,,Zhang2019,586,,,,,
bengni-4_belly-1,,bengni,4_belly,*pwa(ŋ/n),*pwa(ŋ/n),,,Zhang2019,2111,,,,,
bengni-4_belly-2,,bengni,4_belly,*kri,*kri,,,Zhang2019,2125,,,,,
bengni-5_big-1,,bengni,5_big,*ta-y,*ta-y,,,Zhang2019,2697,,,,,
bengni-6_bird-1,,bengni,6_bird,*taŋ,*taŋ,,,Zhang2019,6616,,,,,
bengni-7_bite-1,,bengni,7_bite,*gam,*gam,,,Zhang2019,2231,,,,,
bengni-9_blood-1,,bengni,9_blood,*s-hywəy-t,*s-hywəy-t,,,Zhang2019,230,,,,,
bengni-10_bone-1,,bengni,10_bone,*g-r(w/y)a(ŋ/k),*g-r(w/y)a(ŋ/k),,,Zhang2019,238,,,,,
bengni-12_burn-1,,bengni,12_burn,*gu,*gu,,,Zhang2019,6334,,,,,
bengni-12_burn-2,,bengni,12_burn,*rom,*rom,,,Zhang2019,6577,,,,,
bengni-13_claw-1,,bengni,13_claw,*hyak ⪤ *hwak,*hyak ⪤ *hwak,,,Zhang2019,1458,,,,,
bengni-13_claw-2,,bengni,13_claw,*lak-zin,*lak-zin,,,Zhang2019,6691,,,,,
bengni-14_cloud-1,,bengni,14_cloud,*r-məw,*r-məw,,,Zhang2019,2473,,,,,
bengni-15_cold-1,,bengni,15_cold,*han,*han,,,Zhang2019,6340,,,,,
bengni-17_die-1,,bengni,17_die,*səy,*səy,,,Zhang2019,27,,,,,
bengni-18_dog-1,,bengni,18_dog,*d-kʷəy-n,*d-kʷəy-n,,,Zhang2019,1764,,,,,
bengni-19_drink-1,,bengni,19_drink,*m/s-tuŋ,*m/s-tuŋ,,,Zhang2019,502,,,,,
bengni-20_dry-1,,bengni,20_dry,*san,*san,,,Zhang2019,6591,,,,,
bengni-21_ear-1,,bengni,21_ear,*ña-ruŋ,*ña-ruŋ,,,Zhang2019,6487,,,,,
