ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,STEDTID,GlossInSource
bengni-22_earth-1,,bengni,22_earth,*mroŋ,*mroŋ,,,Zhang2019,6470,,,,,
bengni-23_eat-1,,bengni,23_eat,*do,*do,,,Zhang2019,5363,,,,,
bengni-24_egg-1,,bengni,24_egg,*pu,*pu,,,Zhang2019,1654,,,,,
bengni-25_eye-1,,bengni,25_eye,*s-mik,*s-mik,,,Zhang2019,682,,,,,
bengni-27_fire-1,,bengni,27_fire,*mey,*mey,,,Zhang2019,2136,,,,,
bengni-28_fish-1,,bengni,28_fish,*s-ŋya,*s-ŋya,,,Zhang2019,1455,,,,,
bengni-29_flesh-1,,bengni,29_flesh,*s-nya-k ⪤ *hyak,*s-nya-k ⪤ *hyak,,,Zhang2019,35,,,,,
bengni-30_fly-1,,bengni,30_fly,*byar ⪤ *p(i/u)r,*byar ⪤ *p(i/u)r,,,Zhang2019,2189,,,,,
bengni-31_foot-1,,bengni,31_foot,*far-,*far-,,,Zhang2019,6304,,,,,
bengni-31_foot-2,,bengni,31_foot,*la,*la,,,Zhang2019,350,,,,,
bengni-32_full-1,,bengni,32_full,*(p/b)liŋ,*(p/b)liŋ,,,Zhang2019,111,,,,,
bengni-33_give-1,,bengni,33_give,*s-bəy-n/k,*s-bəy-n/k,,,Zhang2019,2158,,,,,
bengni-34_good-1,,bengni,34_good,*p(r/y)aw,*p(r/y)aw,,,Zhang2019,2572,,,,,
bengni-35_grease-1,,bengni,35_grease,*fu,*fu,,,Zhang2019,6311,,,,,
bengni-37_hair-1,,bengni,37_hair,*dum,*dum,,,Zhang2019,1425,,,,,
bengni-37_hair-2,,bengni,37_hair,*s-mu-t,*s-mu-t,,,Zhang2019,1429,,,,,
bengni-38_hand-1,,bengni,38_hand,*lak,*lak,,,Zhang2019,695,,,,,
bengni-39_head-1,,bengni,39_head,*dum,*dum,,,Zhang2019,1425,,,,,
bengni-39_head-2,,bengni,39_head,*(p/b)wa(ŋ),*(p/b)wa(ŋ),,,Zhang2019,388,,,,,
bengni-40_hear-1,,bengni,40_hear,*s-ta-s ⪤ *ta-n,*s-ta-s ⪤ *ta-n,,,Zhang2019,1408,,,,,
bengni-41_heart-1,,bengni,41_heart,*d-puːk,*d-puːk,,,Zhang2019,164,,,,,
bengni-41_heart-2,,bengni,41_heart,*haŋ,*haŋ,,,Zhang2019,6201,,,,,
bengni-42_horn-1,,bengni,42_horn,*m/g-(r)wa-ŋ/k/t,*m/g-(r)wa-ŋ/k/t,,,Zhang2019,814,,,,,
bengni-43_hot-1,,bengni,43_hot,*gu ~ *gju?,*gu ~ *gju?,,,Zhang2019,6335,,,,,
bengni-44_i-1,,bengni,44_i,*ŋa-y ⪤ *ka,*ŋa-y ⪤ *ka,,,Zhang2019,2530,,,,,
bengni-45_kill-1,,bengni,45_kill,*man,*man,,,Zhang2019,6447,,,,,
bengni-46_knee-1,,bengni,46_knee,*lə-bɯŋ,*lə-bɯŋ,,,Zhang2019,6437,,,,,
bengni-47_know-1,,bengni,47_know,*m-kya(ŋ/n),*m-kya(ŋ/n),,,Zhang2019,1229,,,,,
bengni-48_leaf-1,,bengni,48_leaf,*s-nas,*s-nas,,,Zhang2019,402,,,,,
bengni-49_lie-1,,bengni,49_lie,*(g/k)rət,*(g/k)rət,,,Zhang2019,6332,,,,,
bengni-50_liver-1,,bengni,50_liver,*m-sin,*m-sin,,,Zhang2019,1390,,,,,
bengni-52_louse-1,,bengni,52_louse,*s-r(y)ik,*s-r(y)ik,,,Zhang2019,2609,,,,,
bengni-53_man-1,,bengni,53_man,*r-mi(y)-n,*r-mi(y)-n,,,Zhang2019,1002,,,,,
bengni-55_moon-1,,bengni,55_moon,*s/g-la,*s/g-la,,,Zhang2019,1016,,,,,
bengni-56_mountain-1,,bengni,56_mountain,*di,*di,,,Zhang2019,6222,,,,,
bengni-57_mouth-1,,bengni,57_mouth,*gom,*gom,,,Zhang2019,6324,,,,,
bengni-58_name-1,,bengni,58_name,*r-mi(ŋ/n),*r-mi(ŋ/n),,,Zhang2019,2450,,,,,
bengni-59_neck-1,,bengni,59_neck,*g/m-liŋ,*g/m-liŋ,,,Zhang2019,479,,,,,
bengni-59_neck-2,,bengni,59_neck,*p(w)aŋ,*p(w)aŋ,,,Zhang2019,3404,,,,,
bengni-61_night-1,,bengni,61_night,*ya-n,*ya-n,,,Zhang2019,2784,,,,,
bengni-62_nose-1,,bengni,62_nose,*s-na ⪤ *s-naːr,*s-na ⪤ *s-naːr,,,Zhang2019,803,,,,,
bengni-62_nose-2,,bengni,62_nose,*bu(k/ŋ),*bu(k/ŋ),,,Zhang2019,806,,,,,
bengni-64_one-1,,bengni,64_one,*kon,*kon,,,Zhang2019,6383,,,,,
bengni-65_path-1,,bengni,65_path,*lam,*lam,,,Zhang2019,1017,,,,,
bengni-66_person-1,,bengni,66_person,*r-mi(y)-n,*r-mi(y)-n,,,Zhang2019,1002,,,,,
bengni-67_rain-1,,bengni,67_rain,*r-məw,*r-məw,,,Zhang2019,2473,,,,,
bengni-67_rain-2,,bengni,67_rain,*doŋ,*doŋ,,,Zhang2019,3570,,,,,
bengni-68_red-1,,bengni,68_red,*lɯŋ,*lɯŋ,,,Zhang2019,6137,,,,,
bengni-70_round-1,,bengni,70_round,*s-lum,*s-lum,,,Zhang2019,690,,,,,
bengni-72_say-1,,bengni,72_say,*(b/m)an,*(b/m)an,,,Zhang2019,6699,,,,,
bengni-73_see-1,,bengni,73_see,*kaŋ,*kaŋ,,,Zhang2019,6373,,,,,
bengni-74_seed-1,,bengni,74_seed,*li,*li,,,Zhang2019,3560,,,,,
bengni-75_sit-1,,bengni,75_sit,*m-(t/d)u(ŋ/k),*m-(t/d)u(ŋ/k),,,Zhang2019,1906,,,,,
bengni-76_skin-1,,bengni,76_skin,*dɯ,*dɯ,,,Zhang2019,6297,,,,,
bengni-76_skin-2,,bengni,76_skin,*pʷ(i/u)(l/n),*pʷ(i/u)(l/n),,,Zhang2019,591,,,,,
bengni-77_sleep-1,,bengni,77_sleep,*s-y(i/u)p,*s-y(i/u)p,,,Zhang2019,127,,,,,
bengni-79_smoke-1,,bengni,79_smoke,*kəw-n/t,*kəw-n/t,,,Zhang2019,2361,,,,,
bengni-80_stand-1,,bengni,80_stand,*dak,*dak,,,Zhang2019,6286,,,,,
bengni-81_star-1,,bengni,81_star,*s-kar,*s-kar,,,Zhang2019,2300,,,,,
bengni-82_stone-1,,bengni,82_stone,*r-lu(ŋ/k),*r-lu(ŋ/k),,,Zhang2019,1269,,,,,
bengni-83_sun-1,,bengni,83_sun,*s-nəy,*s-nəy,,,Zhang2019,85,,,,,
bengni-84_swim-1,,bengni,84_swim,*bjaŋ,*bjaŋ,,,Zhang2019,6237,,,,,
bengni-85_tail-1,,bengni,85_tail,*r-may ⪤ *m-ray,*r-may ⪤ *m-ray,,,Zhang2019,1288,,,,,
bengni-85_tail-2,,bengni,85_tail,*m/b-gyu(ŋ/k),*m/b-gyu(ŋ/k),,,Zhang2019,3331,,,,,
bengni-86_that-1,,bengni,86_that,*aː,*aː,,,Zhang2019,6669,,,,,
bengni-87_this-1,,bengni,87_this,*si,*si,,,Zhang2019,6595,,,,,
bengni-88_tongue-1,,bengni,88_tongue,*s/m-l(y)a-t,*s/m-l(y)a-t,,,Zhang2019,623,,,,,
bengni-89_tooth-1,,bengni,89_tooth,*s/p-wa,*s/p-wa,,,Zhang2019,632,,,,,
bengni-89_tooth-2,,bengni,89_tooth,*d-yu(ŋ/k),*d-yu(ŋ/k),,,Zhang2019,2813,,,,,
bengni-90_tree-1,,bengni,90_tree,*si(ŋ/k),*si(ŋ/k),,,Zhang2019,2658,,,,,
bengni-91_two-1,,bengni,91_two,*g/s-ni-s,*g/s-ni-s,,,Zhang2019,2504,,,,,
bengni-93_water-1,,bengni,93_water,*si,*si,,,Zhang2019,189,,,,,
bengni-93_water-2,,bengni,93_water,*krat²,*krat²,,,Zhang2019,6391,,,,,
bengni-96_white-1,,bengni,96_white,*pu(n/ŋ),*pu(n/ŋ),,,Zhang2019,6097,,,,,
bengni-98_woman-1,,bengni,98_woman,*mi,*mi,,,Zhang2019,1618,,,,,
bokarlhoba-2_ash-1,,bokarlhoba,2_ash,*mey,*mey,,,Zhang2019,2136,,,,,
bokarlhoba-4_belly-1,,bokarlhoba,4_belly,*pwa(ŋ/n),*pwa(ŋ/n),,,Zhang2019,2111,,,,,
bokarlhoba-4_belly-2,,bokarlhoba,4_belly,*kri,*kri,,,Zhang2019,2125,,,,,
bokarlhoba-5_big-1,,bokarlhoba,5_big,*ta-y,*ta-y,,,Zhang2019,2697,,,,,
bokarlhoba-6_bird-1,,bokarlhoba,6_bird,*taŋ,*taŋ,,,Zhang2019,6616,,,,,
bokarlhoba-7_bite-1,,bokarlhoba,7_bite,*gam,*gam,,,Zhang2019,2231,,,,,
bokarlhoba-9_blood-1,,bokarlhoba,9_blood,*s-hywəy-t,*s-hywəy-t,,,Zhang2019,230,,,,,
bokarlhoba-10_bone-1,,bokarlhoba,10_bone,*g-r(w/y)a(ŋ/k),*g-r(w/y)a(ŋ/k),,,Zhang2019,238,,,,,
bokarlhoba-10_bone-2,,bokarlhoba,10_bone,*m-bwaŋ,*m-bwaŋ,,,Zhang2019,1469,,,,,
bokarlhoba-13_claw-1,,bokarlhoba,13_claw,*lak-zin,*lak-zin,,,Zhang2019,6691,,,,,
bokarlhoba-14_cloud-1,,bokarlhoba,14_cloud,*r-məw,*r-məw,,,Zhang2019,2473,,,,,
bokarlhoba-16_come-1,,bokarlhoba,16_come,*vaŋ,*vaŋ,,,Zhang2019,6211,,,,,
bokarlhoba-17_die-1,,bokarlhoba,17_die,*səy,*səy,,,Zhang2019,27,,,,,
bokarlhoba-17_die-2,,bokarlhoba,17_die,*kay,*kay,,,Zhang2019,3301,,,,,
bokarlhoba-18_dog-1,,bokarlhoba,18_dog,*d-kʷəy-n,*d-kʷəy-n,,,Zhang2019,1764,,,,,
bokarlhoba-19_drink-1,,bokarlhoba,19_drink,*m/s-tuŋ,*m/s-tuŋ,,,Zhang2019,502,,,,,
bokarlhoba-20_dry-1,,bokarlhoba,20_dry,*san,*san,,,Zhang2019,6591,,,,,
bokarlhoba-21_ear-1,,bokarlhoba,21_ear,*ña-ruŋ,*ña-ruŋ,,,Zhang2019,6487,,,,,
bokarlhoba-23_eat-1,,bokarlhoba,23_eat,*do,*do,,,Zhang2019,5363,,,,,
bokarlhoba-24_egg-1,,bokarlhoba,24_egg,*pu,*pu,,,Zhang2019,1654,,,,,
bokarlhoba-25_eye-1,,bokarlhoba,25_eye,*s-mik,*s-mik,,,Zhang2019,682,,,,,
bokarlhoba-27_fire-1,,bokarlhoba,27_fire,*mey,*mey,,,Zhang2019,2136,,,,,
bokarlhoba-28_fish-1,,bokarlhoba,28_fish,*s-ŋya,*s-ŋya,,,Zhang2019,1455,,,,,
bokarlhoba-30_fly-1,,bokarlhoba,30_fly,*byar ⪤ *p(i/u)r,*byar ⪤ *p(i/u)r,,,Zhang2019,2189,,,,,
bokarlhoba-31_foot-1,,bokarlhoba,31_foot,*la,*la,,,Zhang2019,350,,,,,
bokarlhoba-32_full-1,,bokarlhoba,32_full,*m-dyat,*m-dyat,,,Zhang2019,1830,,,,,
bokarlhoba-32_full-2,,bokarlhoba,32_full,*(p/b)liŋ,*(p/b)liŋ,,,Zhang2019,111,,,,,
bokarlhoba-32_full-3,,bokarlhoba,32_full,*m-gra-ŋ,*m-gra-ŋ,,,Zhang2019,114,,,,,
bokarlhoba-33_give-1,,bokarlhoba,33_give,*s-bəy-n/k,*s-bəy-n/k,,,Zhang2019,2158,,,,,
bokarlhoba-34_good-1,,bokarlhoba,34_good,*p(r/y)aw,*p(r/y)aw,,,Zhang2019,2572,,,,,
bokarlhoba-37_hair-1,,bokarlhoba,37_hair,*dum,*dum,,,Zhang2019,1425,,,,,
bokarlhoba-37_hair-2,,bokarlhoba,37_hair,*s-mu-t,*s-mu-t,,,Zhang2019,1429,,,,,
bokarlhoba-37_hair-3,,bokarlhoba,37_hair,*s-kra,*s-kra,,,Zhang2019,367,,,,,
bokarlhoba-38_hand-1,,bokarlhoba,38_hand,*kwar,*kwar,,,Zhang2019,713,,,,,
bokarlhoba-38_hand-2,,bokarlhoba,38_hand,*lak,*lak,,,Zhang2019,695,,,,,
bokarlhoba-39_head-1,,bokarlhoba,39_head,*dum,*dum,,,Zhang2019,1425,,,,,
bokarlhoba-39_head-2,,bokarlhoba,39_head,*(p/b)wa(ŋ),*(p/b)wa(ŋ),,,Zhang2019,388,,,,,
bokarlhoba-40_hear-1,,bokarlhoba,40_hear,*s-ta-s ⪤ *ta-n,*s-ta-s ⪤ *ta-n,,,Zhang2019,1408,,,,,
bokarlhoba-41_heart-1,,bokarlhoba,41_heart,*d-puːk,*d-puːk,,,Zhang2019,164,,,,,
bokarlhoba-41_heart-2,,bokarlhoba,41_heart,*haŋ,*haŋ,,,Zhang2019,6201,,,,,
bokarlhoba-42_horn-1,,bokarlhoba,42_horn,*m/g-(r)wa-ŋ/k/t,*m/g-(r)wa-ŋ/k/t,,,Zhang2019,814,,,,,
bokarlhoba-43_hot-1,,bokarlhoba,43_hot,*gu ~ *gju?,*gu ~ *gju?,,,Zhang2019,6335,,,,,
bokarlhoba-44_i-1,,bokarlhoba,44_i,*ŋa-y ⪤ *ka,*ŋa-y ⪤ *ka,,,Zhang2019,2530,,,,,
bokarlhoba-45_kill-1,,bokarlhoba,45_kill,*man,*man,,,Zhang2019,6447,,,,,
bokarlhoba-46_knee-1,,bokarlhoba,46_knee,*m-kuː(k/ŋ),*m-kuː(k/ŋ),,,Zhang2019,1251,,,,,
bokarlhoba-46_knee-2,,bokarlhoba,46_knee,*lə-bɯŋ,*lə-bɯŋ,,,Zhang2019,6437,,,,,
bokarlhoba-47_know-1,,bokarlhoba,47_know,*m-kya(ŋ/n),*m-kya(ŋ/n),,,Zhang2019,1229,,,,,
bokarlhoba-48_leaf-1,,bokarlhoba,48_leaf,*s-nas,*s-nas,,,Zhang2019,402,,,,,
bokarlhoba-50_liver-1,,bokarlhoba,50_liver,*m-sin,*m-sin,,,Zhang2019,1390,,,,,
bokarlhoba-52_louse-1,,bokarlhoba,52_louse,*s-r(y)ik,*s-r(y)ik,,,Zhang2019,2609,,,,,
bokarlhoba-55_moon-1,,bokarlhoba,55_moon,*s/g-la,*s/g-la,,,Zhang2019,1016,,,,,
bokarlhoba-57_mouth-1,,bokarlhoba,57_mouth,*gom,*gom,,,Zhang2019,6324,,,,,
bokarlhoba-57_mouth-2,,bokarlhoba,57_mouth,*m-p(r)(w)aŋ,*m-p(r)(w)aŋ,,,Zhang2019,476,,,,,
bokarlhoba-57_mouth-3,,bokarlhoba,57_mouth,*nap,*nap,,,Zhang2019,470,,,,,
bokarlhoba-58_name-1,,bokarlhoba,58_name,*r-mi(ŋ/n),*r-mi(ŋ/n),,,Zhang2019,2450,,,,,
bokarlhoba-59_neck-1,,bokarlhoba,59_neck,*g/m-liŋ,*g/m-liŋ,,,Zhang2019,479,,,,,
bokarlhoba-59_neck-2,,bokarlhoba,59_neck,*gwaŋ,*gwaŋ,,,Zhang2019,3361,,,,,
bokarlhoba-59_neck-3,,bokarlhoba,59_neck,*p(w)aŋ,*p(w)aŋ,,,Zhang2019,3404,,,,,
bokarlhoba-61_night-1,,bokarlhoba,61_night,*ya-n,*ya-n,,,Zhang2019,2784,,,,,
bokarlhoba-62_nose-1,,bokarlhoba,62_nose,*s-na ⪤ *s-naːr,*s-na ⪤ *s-naːr,,,Zhang2019,803,,,,,
bokarlhoba-62_nose-2,,bokarlhoba,62_nose,*bu(k/ŋ),*bu(k/ŋ),,,Zhang2019,806,,,,,
bokarlhoba-64_one-1,,bokarlhoba,64_one,*kon,*kon,,,Zhang2019,6383,,,,,
bokarlhoba-65_path-1,,bokarlhoba,65_path,*lam,*lam,,,Zhang2019,1017,,,,,
bokarlhoba-67_rain-1,,bokarlhoba,67_rain,*r-məw,*r-məw,,,Zhang2019,2473,,,,,
bokarlhoba-67_rain-2,,bokarlhoba,67_rain,*doŋ,*doŋ,,,Zhang2019,3570,,,,,
bokarlhoba-68_red-1,,bokarlhoba,68_red,*lɯŋ,*lɯŋ,,,Zhang2019,6137,,,,,
bokarlhoba-69_root-1,,bokarlhoba,69_root,*pɯr?,*pɯr?,,,Zhang2019,6554,,,,,
bokarlhoba-72_say-1,,bokarlhoba,72_say,*(b/m)an,*(b/m)an,,,Zhang2019,6699,,,,,
bokarlhoba-73_see-1,,bokarlhoba,73_see,*kaŋ,*kaŋ,,,Zhang2019,6373,,,,,
bokarlhoba-74_seed-1,,bokarlhoba,74_seed,*li,*li,,,Zhang2019,3560,,,,,
bokarlhoba-75_sit-1,,bokarlhoba,75_sit,*m-(t/d)u(ŋ/k),*m-(t/d)u(ŋ/k),,,Zhang2019,1906,,,,,
bokarlhoba-76_skin-1,,bokarlhoba,76_skin,*dɯ,*dɯ,,,Zhang2019,6297,,,,,
bokarlhoba-76_skin-2,,bokarlhoba,76_skin,*pʷ(i/u)(l/n),*pʷ(i/u)(l/n),,,Zhang2019,591,,,,,
bokarlhoba-77_sleep-1,,bokarlhoba,77_sleep,*ka(r),*ka(r),,,Zhang2019,2128,,,,,
bokarlhoba-77_sleep-2,,bokarlhoba,77_sleep,*s-y(i/u)p,*s-y(i/u)p,,,Zhang2019,127,,,,,
bokarlhoba-79_smoke-1,,bokarlhoba,79_smoke,*kəw-n/t,*kəw-n/t,,,Zhang2019,2361,,,,,
bokarlhoba-80_stand-1,,bokarlhoba,80_stand,*g-r(y)ap,*g-r(y)ap,,,Zhang2019,145,,,,,
bokarlhoba-81_star-1,,bokarlhoba,81_star,*s-kar,*s-kar,,,Zhang2019,2300,,,,,
bokarlhoba-82_stone-1,,bokarlhoba,82_stone,*r-lu(ŋ/k),*r-lu(ŋ/k),,,Zhang2019,1269,,,,,
bokarlhoba-83_sun-1,,bokarlhoba,83_sun,*s-nəy,*s-nəy,,,Zhang2019,85,,,,,
bokarlhoba-85_tail-1,,bokarlhoba,85_tail,*r-may ⪤ *m-ray,*r-may ⪤ *m-ray,,,Zhang2019,1288,,,,,
bokarlhoba-86_that-1,,bokarlhoba,86_that,*aː,*aː,,,Zhang2019,6669,,,,,
bokarlhoba-87_this-1,,bokarlhoba,87_this,*si,*si,,,Zhang2019,6595,,,,,
bokarlhoba-88_tongue-1,,bokarlhoba,88_tongue,*s/m-l(y)a-t,*s/m-l(y)a-t,,,Zhang2019,623,,,,,
bokarlhoba-89_tooth-1,,bokarlhoba,89_tooth,*s/p-wa,*s/p-wa,,,Zhang2019,632,,,,,
bokarlhoba-89_tooth-2,,bokarlhoba,89_tooth,*d-yu(ŋ/k),*d-yu(ŋ/k),,,Zhang2019,2813,,,,,
bokarlhoba-89_tooth-3,,bokarlhoba,89_tooth,*gam,*gam,,,Zhang2019,630,,,,,
bokarlhoba-90_tree-1,,bokarlhoba,90_tree,*si(ŋ/k),*si(ŋ/k),,,Zhang2019,2658,,,,,
bokarlhoba-91_two-1,,bokarlhoba,91_two,*g/s-ni-s,*g/s-ni-s,,,Zhang2019,2504,,,,,
bokarlhoba-92_walk-1,,bokarlhoba,92_walk,*in,*in,,,Zhang2019,6347,,,,,
bokarlhoba-93_water-1,,bokarlhoba,93_water,*si,*si,,,Zhang2019,189,,,,,
bokarlhoba-96_white-1,,bokarlhoba,96_white,*pu(n/ŋ),*pu(n/ŋ),,,Zhang2019,6097,,,,,
bokarlhoba-98_woman-1,,bokarlhoba,98_woman,*mi,*mi,,,Zhang2019,1618,,,,,
bokarlhoba-100_you-1,,bokarlhoba,100_you,*na-ŋ,*na-ŋ,,,Zhang2019,2489,,,,,
apatani-2_ash-1,,apatani,2_ash,*mey,*mey,,,Zhang2019,2136,,,,,
apatani-2_ash-2,,apatani,2_ash,*pʷut ⪤ *hwut,*pʷut ⪤ *hwut,,,Zhang2019,3514,,,,,
apatani-3_bark-1,,apatani,3_bark,*rjo,*rjo,,,Zhang2019,599,,,,,
apatani-4_belly-1,,apatani,4_belly,*kri,*kri,,,Zhang2019,2125,,,,,
apatani-6_bird-1,,apatani,6_bird,*taŋ,*taŋ,,,Zhang2019,6616,,,,,
apatani-9_blood-1,,apatani,9_blood,*s-hywəy-t,*s-hywəy-t,,,Zhang2019,230,,,,,
apatani-10_bone-1,,apatani,10_bone,*g-r(w/y)a(ŋ/k),*g-r(w/y)a(ŋ/k),,,Zhang2019,238,,,,,
apatani-12_burn-1,,apatani,12_burn,*bʷar ⪤ *pʷar,*bʷar ⪤ *pʷar,,,Zhang2019,2152,,,,,
apatani-12_burn-2,,apatani,12_burn,*rom,*rom,,,Zhang2019,6577,,,,,
apatani-13_claw-1,,apatani,13_claw,*lak-zin,*lak-zin,,,Zhang2019,6691,,,,,
apatani-14_cloud-1,,apatani,14_cloud,*r-məw,*r-məw,,,Zhang2019,2473,,,,,
apatani-17_die-1,,apatani,17_die,*səy,*səy,,,Zhang2019,27,,,,,
apatani-18_dog-1,,apatani,18_dog,*d-kʷəy-n,*d-kʷəy-n,,,Zhang2019,1764,,,,,
apatani-19_drink-1,,apatani,19_drink,*m/s-tuŋ,*m/s-tuŋ,,,Zhang2019,502,,,,,
apatani-20_dry-1,,apatani,20_dry,*san,*san,,,Zhang2019,6591,,,,,
apatani-21_ear-1,,apatani,21_ear,*ña-ruŋ,*ña-ruŋ,,,Zhang2019,6487,,,,,
apatani-22_earth-1,,apatani,22_earth,*mroŋ,*mroŋ,,,Zhang2019,6470,,,,,
apatani-23_eat-1,,apatani,23_eat,*do,*do,,,Zhang2019,5363,,,,,
apatani-24_egg-1,,apatani,24_egg,*pu,*pu,,,Zhang2019,1654,,,,,
apatani-25_eye-1,,apatani,25_eye,*s-mik,*s-mik,,,Zhang2019,682,,,,,
apatani-26_feather-1,,apatani,26_feather,*s-mu-t,*s-mu-t,,,Zhang2019,1429,,,,,
apatani-27_fire-1,,apatani,27_fire,*mey,*mey,,,Zhang2019,2136,,,,,
apatani-28_fish-1,,apatani,28_fish,*s-ŋya,*s-ŋya,,,Zhang2019,1455,,,,,
apatani-29_flesh-1,,apatani,29_flesh,*s-nya-k ⪤ *hyak,*s-nya-k ⪤ *hyak,,,Zhang2019,35,,,,,
apatani-31_foot-1,,apatani,31_foot,*far-,*far-,,,Zhang2019,6304,,,,,
apatani-31_foot-2,,apatani,31_foot,*la,*la,,,Zhang2019,350,,,,,
apatani-33_give-1,,apatani,33_give,*s-bəy-n/k,*s-bəy-n/k,,,Zhang2019,2158,,,,,
apatani-34_good-1,,apatani,34_good,*p(r/y)aw,*p(r/y)aw,,,Zhang2019,2572,,,,,
apatani-37_hair-1,,apatani,37_hair,*dum,*dum,,,Zhang2019,1425,,,,,
apatani-37_hair-2,,apatani,37_hair,*s-mu-t,*s-mu-t,,,Zhang2019,1429,,,,,
apatani-38_hand-1,,apatani,38_hand,*lak,*lak,,,Zhang2019,695,,,,,
apatani-39_head-1,,apatani,39_head,*dum,*dum,,,Zhang2019,1425,,,,,
apatani-40_hear-1,,apatani,40_hear,*s-ta-s ⪤ *ta-n,*s-ta-s ⪤ *ta-n,,,Zhang2019,1408,,,,,
apatani-41_heart-1,,apatani,41_heart,*haŋ,*haŋ,,,Zhang2019,6201,,,,,
apatani-42_horn-1,,apatani,42_horn,*m/g-(r)wa-ŋ/k/t,*m/g-(r)wa-ŋ/k/t,,,Zhang2019,814,,,,,
apatani-43_hot-1,,apatani,43_hot,*gu ~ *gju?,*gu ~ *gju?,,,Zhang2019,6335,,,,,
apatani-44_i-1,,apatani,44_i,*ŋa-y ⪤ *ka,*ŋa-y ⪤ *ka,,,Zhang2019,2530,,,,,
apatani-45_kill-1,,apatani,45_kill,*man,*man,,,Zhang2019,6447,,,,,
apatani-46_knee-1,,apatani,46_knee,*lə-bɯŋ,*lə-bɯŋ,,,Zhang2019,6437,,,,,
apatani-47_know-1,,apatani,47_know,*m-kya(ŋ/n),*m-kya(ŋ/n),,,Zhang2019,1229,,,,,
apatani-48_leaf-1,,apatani,48_leaf,*s-nas,*s-nas,,,Zhang2019,402,,,,,
apatani-49_lie-1,,apatani,49_lie,*(g/k)rət,*(g/k)rət,,,Zhang2019,6332,,,,,
apatani-50_liver-1,,apatani,50_liver,*m-sin,*m-sin,,,Zhang2019,1390,,,,,
apatani-52_louse-1,,apatani,52_louse,*s-r(y)ik,*s-r(y)ik,,,Zhang2019,2609,,,,,
apatani-53_man-1,,apatani,53_man,*r-mi(y)-n,*r-mi(y)-n,,,Zhang2019,1002,,,,,
apatani-55_moon-1,,apatani,55_moon,*s/g-la,*s/g-la,,,Zhang2019,1016,,,,,
apatani-57_mouth-1,,apatani,57_mouth,*gom,*gom,,,Zhang2019,6324,,,,,
apatani-58_name-1,,apatani,58_name,*r-mi(ŋ/n),*r-mi(ŋ/n),,,Zhang2019,2450,,,,,
apatani-59_neck-1,,apatani,59_neck,*g/m-liŋ,*g/m-liŋ,,,Zhang2019,479,,,,,
apatani-59_neck-2,,apatani,59_neck,*ku,*ku,,,Zhang2019,5651,,,,,
