,etymon,,,,,,,,2355,5736,4193,5589,7206,5183,162,2136,2560,374,5606,2691,3514,591,4729,599,589,792,783,2176,590,593,4698,586,2127,519,2106,1384,2102,2108,7120,2123,2103,2095,2104,164,5364,526,2,2111,137,2125,2112,3460,520,163,3,2440,6955,7226,622,4992,88,2697,2393,301,2187,2186,2346,3442,2588,6616,1603,1604,1606,34,2492,6174,743,755,2231,688,1775,1772,1760,1761,1763,4212,2709,7228,1778,4552,1799,1774,601,4639,1762,3435,1147,744,4124,1777,6130,4062,2483,6964,5135,2683,315,2672,230,5721,231,418,238,1469,554,232,233,237,241,234,254,253,3586,3462,3463,3458,3464,259,3461,5539,348,340,6334,4943,2562,2152,694,6965,1457,2749,3609,119,56,4469,6828,2271,6577,414,1458,511,1233,5550,508,513,5621,416,515,329,7401,507,512,6691,510,415,5622,506,2459,514,5656,2465,4758,2463,2473,443,5140,4687,2374,6340,3567,4066,7108,5570,7114,1812,5619,2774,3569,2190,6211,446,4706,3300,27,29,1860,4140,1861,12,31,5676,30,3301,1859,6026,1764,3462,743,487,1705,5081,1704,1713,4077,1714,502,6886,7769,3501,443,118,4713,120,116,3515,4440,2420,119,1001,3298,7203,3297,7030,7198,6591,19,6891,4534,825,3558,1410,2084,821,2086,811,2083,6487,818,816,817,2070,3605,2082,4022,812,824,823,6470,5671,587,2284,2453,4813,4479,1708,487,3414,1707,36,3451,5363,6787,1607,1181,3437,1110,3439,1172,1609,305,300,646,1654,1603,3438,1286,1610,685,304,301,3436,298,2068,3557,681,33,1261,2067,682,1427,366,368,760,5634,714,750,1429,711,762,731,1228,1232,757,720,585,370,363,756,5395,1288,2152,2136,6788,7320,5673,1455,6299,37,47,54,22,41,39,4,8,34,1130,1866,52,38,3413,2,318,35,2588,5021,5212,2590,6789,2189,888,6304,335,341,336,349,4153,1317,5621,7161,350,375,338,417,776,344,343,342,3580,4268,112,1832,135,5715,100,1834,1830,1833,1829,134,7091,138,132,111,7726,115,114,6840,2158,5665,5744,6191,4511,649,6765,3549,4088,663,2567,3543,660,2572,2457,5740,2722,50,60,1444,6311,1446,42,1440,1448,1470,34,1439,40,1450,1437,1443,48,1441,20,2531,6960,71,6744,5634,1425,366,371,1228,1429,368,5633,2006,370,367,1232,363,2058,372,712,770,700,236,745,725,373,771,709,6118,742,699,735,711,713,739,741,695,751,3415,720,731,705,768,696,371,1241,5307,367,391,359,1425,1381,386,388,385,1223,387,1224,1221,1242,392,7129,2670,1411,7578,811,1410,1408,825,164,1381,6201,1390,1385,7346,32,251,1427,1392,1387,1388,1383,1019,297,66,1382,2009,814,6766,2012,371,819,2420,7490,6335,6481,5026,1844,119,7203,2530,517,7055,7053,3300,1860,1018,27,6447,4595,435,418,437,1251,2252,6437,436,439,306,4410,1229,1405,2670,4204,402,824,821,8011,786,7573,2085,699,293,6332,1387,1381,1382,5737,1383,229,91,1390,4690,7003,4661,7378,2597,7379,7170,2204,2418,1011,2652,5785,8009,5346,2609,5296,1002,5484,3327,1635,2546,1624,7389,4170,3372,4897,7141,5687,5404,1016,2300,3577,7004,3579,6223,2453,5263,4772,163,6904,6076,6222,3581,477,686,468,471,2133,473,6324,476,478,667,2096,2100,687,1115,454,2097,5471,273,2099,755,2095,822,442,467,453,474,470,1190,2169,2450,490,389,481,484,488,489,479,3407,486,483,493,359,3364,3363,498,255,485,3367,500,3361,5650,496,3365,5651,3404,1725,494,393,268,495,2651,6178,2636,4777,6130,2484,2784,803,2091,808,2093,805,810,806,442,809,807,6449,2436,5035,2301,2726,6383,7411,5377,3540,6769,2277,7417,6976,4250,1017,5668,1,2,5632,5296,1002,3327,2484,2080,6312,3571,1013,2473,3570,6137,6151,231,2683,2377,5721,2499,225,2176,7445,6554,320,4019,4045,665,6865,163,4160,5748,690,2310,2270,1381,2060,587,7450,4831,7636,5382,6234,1757,6699,1754,1753,1755,6324,1227,6172,6373,1229,5405,5419,1402,1410,5798,2670,1405,4880,3560,2463,3559,1019,685,4619,3590,1614,3561,3598,3599,3601,3602,7075,3596,2237,3603,3600,3591,3419,3597,5757,2149,1906,1234,3594,785,585,784,595,6297,448,593,588,795,586,598,780,781,596,790,590,592,783,591,589,599,792,602,782,2128,131,128,7164,129,146,127,140,130,90,639,2806,549,2707,5414,4628,4834,2361,148,4108,145,7481,6898,6286,7047,3574,3575,2300,3578,3579,3577,7482,6989,4677,1269,2166,6225,85,7489,697,2753,2484,7565,2590,6237,203,225,1288,5639,411,3332,410,219,5545,205,1361,3331,3333,404,5739,2195,6669,6595,5807,2195,628,625,623,629,621,2742,1622,637,1728,2814,1187,631,632,635,3316,1176,2813,1322,634,630,2658,2176,6073,6123,2358,2504,2774,3383,5569,657,3551,446,7595,5178,4618,2190,7335,6347,5373,6979,4285,298,2080,7197,189,191,7611,1013,1631,6391,2530,167,5589,3608,2531,6920,5334,5517,6097,165,1235,1230,5683,5632,5493,1622,1621,5595,1618,1623,1619,1620,1470,3496,4519,5683,4504,5518,165,2531,2489
,meaning,,,,,,,,all,all,all,all,all,all,all,ash,ash,ash,ash,ash,ash,bark,bark,bark,bark,bark,bark,bark,bark,bark,bark,bark,belly,belly,belly,belly,belly,belly,belly,belly,belly,belly,belly,belly,belly,belly,belly,belly,belly,belly,belly,belly,belly,belly,belly,big,big,big,big,big,big,big,bird,bird,bird,bird,bird,bird,bird,bird,bird,bird,bird,bird,bird,bird,bite,bite,bite,bite,bite,bite,bite,bite,bite,bite,bite,bite,bite,bite,bite,bite,bite,bite,bite,bite,bite,bite,bite,bite,black,black,black,black,black,black,black,black,blood,blood,blood,bone,bone,bone,bone,bone,bone,bone,bone,bone,breasts,breasts,breasts,breasts,breasts,breasts,breasts,breasts,breasts,breasts,burn,burn,burn,burn,burn,burn,burn,burn,burn,burn,burn,burn,burn,burn,burn,burn,burn,claw,claw,claw,claw,claw,claw,claw,claw,claw,claw,claw,claw,claw,claw,claw,claw,claw,claw,claw,claw,claw,cloud,cloud,cloud,cloud,cloud,cold,cold,cold,cold,cold,cold,cold,cold,cold,cold,come,come,come,come,come,come,come,come,die,die,die,die,die,die,die,die,die,die,die,die,dog,dog,drink,drink,drink,drink,drink,drink,drink,drink,drink,drink,drink,drink,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,dry,ear,ear,ear,ear,ear,ear,ear,ear,ear,ear,ear,ear,ear,ear,ear,ear,ear,ear,ear,earth,earth,earth,earth,earth,eat,eat,eat,eat,eat,eat,eat,eat,eat,eat,egg,egg,egg,egg,egg,egg,egg,egg,egg,egg,egg,egg,egg,egg,egg,egg,egg,egg,egg,egg,eye,eye,eye,eye,eye,eye,eye,eye,feather,feather,feather,feather,feather,feather,feather,feather,feather,feather,feather,feather,feather,feather,feather,feather,feather,feather,fire,fire,fire,fire,fish,fish,fish,fish,flesh,flesh,flesh,flesh,flesh,flesh,flesh,flesh,flesh,flesh,flesh,flesh,flesh,flesh,flesh,flesh,flesh,flesh,fly,fly,fly,fly,fly,fly,foot,foot,foot,foot,foot,foot,foot,foot,foot,foot,foot,foot,foot,foot,foot,foot,foot,foot,foot,full,full,full,full,full,full,full,full,full,full,full,full,full,full,full,full,full,full,full,give,give,give,give,give,give,give,give,good,good,good,good,good,good,good,good,good,grease,grease,grease,grease,grease,grease,grease,grease,grease,grease,grease,grease,grease,grease,grease,grease,grease,green,green,green,green,hair,hair,hair,hair,hair,hair,hair,hair,hair,hair,hair,hair,hair,hair,hair,hair,hand,hand,hand,hand,hand,hand,hand,hand,hand,hand,hand,hand,hand,hand,hand,hand,hand,hand,hand,hand,hand,hand,hand,hand,hand,head,head,head,head,head,head,head,head,head,head,head,head,head,head,head,head,head,hear,hear,hear,hear,hear,hear,hear,hear,heart,heart,heart,heart,heart,heart,heart,heart,heart,heart,heart,heart,heart,heart,heart,heart,heart,horn,horn,horn,horn,horn,horn,hot,hot,hot,hot,hot,hot,hot,hot,i,i,i,i,kill,kill,kill,kill,kill,kill,knee,knee,knee,knee,knee,knee,knee,knee,knee,know,know,know,know,leaf,leaf,leaf,leaf,leaf,leaf,leaf,leaf,leaf,leaf,lie,liver,liver,liver,liver,liver,liver,liver,liver,long,long,long,long,long,long,long,long,long,long,louse,louse,louse,louse,louse,man,man,man,man,man,man,man,many,many,many,many,many,many,moon,moon,moon,moon,moon,moon,mountain,mountain,mountain,mountain,mountain,mountain,mountain,mountain,mountain,mouth,mouth,mouth,mouth,mouth,mouth,mouth,mouth,mouth,mouth,mouth,mouth,mouth,mouth,mouth,mouth,mouth,mouth,mouth,mouth,mouth,mouth,mouth,mouth,mouth,mouth,mouth,mouth,name,name,neck,neck,neck,neck,neck,neck,neck,neck,neck,neck,neck,neck,neck,neck,neck,neck,neck,neck,neck,neck,neck,neck,neck,neck,neck,neck,neck,neck,neck,neck,new,new,night,night,night,night,night,nose,nose,nose,nose,nose,nose,nose,nose,nose,nose,not,not,not,one,one,one,one,one,one,one,one,path,path,path,path,path,person,person,person,person,person,person,rain,rain,rain,rain,rain,rain,rain,red,red,red,red,red,red,red,root,root,root,root,root,round,round,round,round,round,round,round,round,round,round,round,round,sand,sand,sand,say,say,say,say,say,say,say,say,say,see,see,see,see,see,see,see,see,see,see,see,see,seed,seed,seed,seed,seed,seed,seed,seed,seed,sit,sit,sit,sit,sit,sit,sit,sit,sit,sit,sit,sit,sit,sit,sit,sit,sit,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,skin,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,sleep,small,small,small,small,small,small,small,small,smoke,stand,stand,stand,stand,stand,stand,star,star,star,star,star,star,star,star,star,stone,stone,stone,sun,sun,sun,sun,sun,sun,swim,swim,swim,tail,tail,tail,tail,tail,tail,tail,tail,tail,tail,tail,tail,tail,tail,that,that,that,this,this,this,tongue,tongue,tongue,tongue,tongue,tooth,tooth,tooth,tooth,tooth,tooth,tooth,tooth,tooth,tooth,tooth,tooth,tooth,tooth,tooth,tree,tree,tree,tree,tree,two,walk,walk,walk,walk,walk,walk,walk,walk,walk,walk,walk,walk,walk,walk,walk,water,water,water,water,water,water,water,water,water,we,what,what,white,white,white,white,white,white,white,white,white,white,who,woman,woman,woman,woman,woman,woman,woman,woman,yellow,yellow,yellow,yellow,yellow,yellow,yellow,yellow,you
,ancestry,,,,,,,,PTB,PLB,PKC,PTB,PKar,PCC,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PKC,PTani,PTB,PTB,PTB,PTB,PTB,PTB,PKC,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTk,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTk,PKar,PTB,PKC,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTani,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PKC,PTB,PKar,PTB,PKC,PTB,PTB,PTB,PKC,PTB,PTB,PTB,PTB,PKC,PTB,PTB,PKC,PTB,PTk,PKC,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTani,PKC,PTB,PTB,PTB,PTk,PTB,PTB,PTB,PTB,PTB,PKC,PTk,PTB,PTani,IA,PTB,PTB,PTB,PLB,PKir,PTB,PTB,PTB,PTB,PTB,PKar,PTB,PTB,PTani,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PKC,PTB,PTani,PTB,PKC,PTk,PTB,PTk,PTB,PTB,PTB,PTB,PTB,PTani,PTB,PKC,PTB,PTB,PTB,PTB,PKC,PTB,PTB,PTB,PTB,PTB,PTB,PKir,PTB,PTB,PTB,PTB,PTB,PTB,PKC,PTB,PTB,PKC,PTB,PTB,PTk,PCN,PTB,PTB,PTB,PKC,PTB,PTB,PTB,PCC,PTB,PTB,PTB,PTB,PTB,PTB,PTk,PTB,PTani,PTB,PTk,PKC,PTB,NEIA,PTB,PTB,PTB,PAsak,PTB,PTB,PTani,PTB,PTB,PTB,PTB,PTB,PTB,PNC,PTB,PTB,PTB,PTani,PTB,PTB,PTB,PTB,PNC,PKC,PNN,PTB,PTB,PTB,PTB,PTB,PTani,PTk,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,NEIA,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PKar,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTk,PKar,PQ,PTB,PTani,PDeng,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,NEIA,PTB,IA,PTB,PTB,PTB,PTB,PNC,PKC,PTB,PTk,PTB,PTB,PTani,PTB,PTB,PTB,PTB,PNC,PTB,PTB,PTk,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PKir,PKC,PLB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PLB,PTB,PTB,PTB,PTB,PCN,PTB,PTB,PTk,PTB,PTB,PNN,PTB,PTB,PTB,PTk,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTani,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTk,PTB,PTk,PKar,PTani,PTB,PTB,PTB,PTB,PTB,PTB,PL,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PKir,PTB,PTB,PTB,PTB,PTB,PTB,IA,PKC,PTB,PTB,PTB,PTani,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTk,PTB,PTB,PCN,PTB,PTB,PTB,PTB,PTB,PTB,PTani,PTB,PTB,PKar,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTk,PTB,PTB,PTB,PTB,PKar,PTani,PTB,PKC,PTB,PTB,PTB,PTB,PTB,PTk,PTk,PTB,PTB,PTB,PTB,PTani,PKC,PTB,PTB,PTB,PTB,PTB,PTani,PTB,PTB,PTB,PKC,PTB,PTB,PTB,PNC,PTB,PTB,PTB,TGTM,PTB,PCN,PTB,PTB,PTB,PTani,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PKC,PTk,PKC,PKar,PTB,PKar,PLB,PTB,PTB,PTB,PTB,PKar,TGTM,PKC,PTB,PSPC,PPC,PTB,PTB,PTB,PTB,PTB,PKar,PKC,PTB,PKC,PTk,PTB,PTB,PTB,PTB,PTB,PTk,PNN,PTB,PTB,PKC,PKC,PTB,PTk,PTB,PTani,PTB,TGTM,PTB,PTB,PTB,NEIA,PTB,PTani,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PKir,PTB,PTB,PTB,PTB,NEIA,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PKC,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTani,PTB,PKC,PTB,PTB,PTani,PKar,PTB,PTB,PTk,PTB,PKar,PTk,PKC,PTB,PTB,PTB,PTB,PTB,PSPC,PPC,PTB,PTB,PTB,NEIA,PTB,PTB,PTB,NEIA,PTani,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PKar,PTani,PTB,PNC,PKC,PTB,PTk,PTB,PKC,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PKar,PKC,PCN,PTB,PNN,PTB,PTani,PTB,PTB,PTB,PTani,PTB,PTB,PTani,PTB,PBod,PTB,PTB,PTB,NEIA,PTB,PTB,PKC,PTB,PTB,PTB,PTB,PTB,PKC,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTk,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PNungic,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTani,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTani,PTB,PAsak,PTB,PTB,PTB,PTB,PTk,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PKC,PNC,PTB,PTB,PKC,PTB,PKar,PTk,PTani,PTk,PTB,PTB,PTB,PNN,PNN,PTB,PKar,PTk,PPC,PTB,PTB,PTB,PTB,PKar,PTB,PTB,PTB,PCN,PTB,PTani,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTani,PTani,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,IA,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PCN,PKC,PKC,PTB,PKar,PTani,PTB,PTk,PKC,PTB,PTB,PNN,PTB,PTB,PCN,PTB,PTB,PTani,PTB,PTB,PTB,PQ,PTB,PTk,PKC,PTB,PTani,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PTB,PLB,PKC,PTB,PKC,PTB,PTB,PTB,PTB
