IDX,Name,ISO-639-3,Glottocode,Latitude,Longitude,STEDT Cladecode,STEDT Genus,Latitude,Longitude,Classification-Ethnologue,Group-Ethnologue,Group,Alternative Name,rootmeaning,meaningcount
1,Bengni,njz,nyis1236,28.41,92.96,1.1.1.1,Western Tani,28.41,92.96,"Sino-Tibetan, Tibeto-Burman, Central Tibeto-Burman, Tani",Tani,Tani,Bengni_Tani,97,97
2,Bokar_Lhoba,adi,bori1243,29.06,94.22,1.1.1.1,Western Tani,29.06,94.22,"Sino-Tibetan, Tibeto-Burman, Central Tibeto-Burman, Tani",Tani,Tani,Bokar_Lhoba_Tani,94,94
3,Apatani,apt,apat1240,27.19,93.73,1.1.1.1,Western Tani,27.19,93.73,"Sino-Tibetan, Tibeto-Burman, Central Tibeto-Burman, Tani",Tani,Tani,Apatani_Tani,82,98
4,Hayu,vay,wayu1241,27.3,86.12,1.1.2,Deng,27.3,86.12,"Sino-Tibetan, Tibeto-Burman, Western Tibeto-Burman, Himalayan, Kiranti, Western",Kiranti-W,Kiranti,Hayu_Kiranti,48,93
5,Daofu,ero,horp1239,31.1,101.72,1.1.2,Deng,31.1,101.72,"Sino-Tibetan, Tibeto-Burman, Northeastern Tibeto-Burman, rGyalrongic",rGyalrongic,rGyalrongic,Daofu_rGyalrongic,45,91
6,Tangkhul,nmf,tang1336,25.05,94.36,1.2.1.1,Northern Chin,25.05,94.36,"Sino-Tibetan, Tibeto-Burman, Tangkhulic",Tangkhulic,Tangkhulic,Tangkhul_Tangkhulic,90,96
7,Tibetan_Xiahe,adx,amdo1237,35.2,102.52,1.2.1.1,Northern Chin,35.2,102.52,"Sino-Tibetan, Tibeto-Burman, Western Tibeto-Burman, Bodish",Bodish-C,Bodish,Tibetan_Xiahe_Tibetan,47,91
8,Khaling,klr,khal1275,27.39,87.51,1.2.1.2,Southern Plains Chin,27.39,87.51,"Sino-Tibetan, Tibeto-Burman, Western Tibeto-Burman, Himalayan, Kiranti, Western",Kiranti-W,Kiranti,Khaling_Kiranti,46,97
9,Marma,rmz,marm1234,22.76,92.21,1.2.1.2,Southern Plains Chin,22.76,92.21,"Sino-Tibetan, Tibeto-Burman, Ngwi-Burmese, Burmish, Southern",Burmish-S,Burmish,Marma_Burmese,43,95
10,Naxi_Yongning,nxq,naxi1245,26.7,101.01,1.2.1.2,Southern Plains Chin,26.7,101.01,"Sino-Tibetan, Tibeto-Burman, Northeastern Tibeto-Burman, Naic",Naic,Naic,Naxi_Yongning_Naic,59,91
11,Cuona_Menba,twm,tawa1289,27.77,92.18,1.2.1.2,Southern Plains Chin,27.77,92.18,"Sino-Tibetan, Tibeto-Burman, Western Tibeto-Burman, Bodish, East Bodish",Bodish,Bodish,Cuona_Menba_Bodish,42,90
12,Sak,ckh,chak1270,21.41,92.6,1.3.1,Central Naga (Ao Group),21.41,92.6,"Sino-Tibetan, Tibeto-Burman, Sal, Jingppaw-Asakia, Asakian",Jingppaw-Asakia,Sal,Sak_Sal,41,97
13,Ao_Mongsen,njo,aona1235,26.27,94.41,1.3.1,Central Naga (Ao Group),26.27,94.41,"Sino-Tibetan, Tibeto-Burman, Central Naga",Naga-C,Naga,Ao_Mongsen_Naga,67,93
14,Ao_Chungli,njo,aona1235,26.32,94.38,1.3.1,Central Naga (Ao Group),26.32,94.38,"Sino-Tibetan, Tibeto-Burman, Central Naga",Naga-C,Naga,Ao_Chungli_Naga,79,95
15,Lisu_Northern,lis,lisu1250,26,98,1.3.1,Central Naga (Ao Group),26,98,"Sino-Tibetan, Tibeto-Burman, Ngwi-Burmese, Ngwi, Central",Yi-C,Loloish,Lisu_Northern_Ngwi,77,92
16,Angami_Kohima,njm,anga1288,25.68,93.87,1.3.2,Angami-Pochuri Group,25.68,93.87,"Sino-Tibetan, Tibeto-Burman, Angami-Pochuri",Angami-Pochuri,Naga,Angami_Kohima_Naga,41,93
17,Sangtam,nsa,sang1321,25.86,94.63,1.3.2,Angami-Pochuri Group,25.86,94.63,"Sino-Tibetan, Tibeto-Burman, Central Naga",Naga-C,Naga,Sangtam_Naga,69,92
18,Leqi_Luxi,lsi,lash1243,26.1,98.55,1.3.3,Zeme Group,26.1,98.55,"Sino-Tibetan, Tibeto-Burman, Ngwi-Burmese, Burmish, Northern",Burmish-N,Burmish,Leqi_Luxi_Burmish,58,90
19,Zeme,nzm,zeme1240,25.35,93.65,1.3.3,Zeme Group,25.35,93.65,"Sino-Tibetan, Tibeto-Burman, Western Naga",Naga-W,Naga,Zeme_Naga,41,92
20,rGyalrong_Maerkang,jya,jiar1240,31.9,102.22,1.3.3,Zeme Group,31.9,102.22,"Sino-Tibetan, Tibeto-Burman, Northeastern Tibeto-Burman, rGyalrongic",rGyalrongic,rGyalrongic,rGyalrong_Maerkang_rGyalrongic,53,91
21,Tamang,tdg,west2415,28.02,85.06,1.3.4,Tangkhulic,28.02,85.06,"Sino-Tibetan, Tibeto-Burman, Western Tibeto-Burman, Bodish, West Bodish, Gurung-Tamang, Tamang",Tamang,TG,Tamang_TG,69,99
